# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,-1,2.68,0.00,1.18,0.11,0.04,95.98
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,0,2.74,0.00,1.15,0.08,0.03,96.01
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,1,2.63,0.00,1.21,0.15,0.04,95.96
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,-1,0.84,0.00,0.78,0.10,0.03,98.24
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,0,0.96,0.00,0.82,0.10,0.03,98.09
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,1,0.72,0.00,0.75,0.11,0.03,98.39
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,-1,0.90,0.00,0.78,0.10,0.03,98.18
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,0,0.86,0.00,0.98,0.13,0.03,97.99
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,1,0.95,0.00,0.58,0.07,0.03,98.38
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,-1,2.18,0.00,1.32,0.10,0.04,96.38
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,0,2.36,0.00,1.36,0.11,0.04,96.13
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,1,1.99,0.00,1.27,0.08,0.04,96.62
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,-1,3.87,0.00,1.51,0.11,0.06,94.46
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,0,3.83,0.00,1.64,0.14,0.05,94.33
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,1,3.90,0.00,1.37,0.08,0.06,94.60
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,-1,2.53,0.00,1.24,0.10,0.05,96.08
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,0,2.56,0.00,1.13,0.08,0.05,96.18
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,1,2.50,0.00,1.34,0.13,0.05,95.98
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,-1,3.08,0.00,1.36,0.10,0.05,95.42
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,0,2.91,0.00,1.32,0.06,0.05,95.65
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,1,3.24,0.00,1.39,0.13,0.05,95.18
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,-1,2.13,0.00,1.03,0.11,0.04,96.69
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,0,2.00,0.00,1.00,0.07,0.04,96.88
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,1,2.26,0.00,1.07,0.14,0.04,96.49
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,-1,0.99,0.00,1.06,0.11,0.04,97.80
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,0,1.09,0.00,1.11,0.09,0.04,97.68
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,1,0.89,0.00,1.02,0.13,0.05,97.91
qaenv-cyberthreats,600,2018-10-25 01:35:01 UTC,-1,1.41,0.00,0.89,0.10,0.03,97.57
qaenv-cyberthreats,600,2018-10-25 01:35:01 UTC,0,1.39,0.00,1.00,0.10,0.03,97.47
qaenv-cyberthreats,600,2018-10-25 01:35:01 UTC,1,1.42,0.00,0.78,0.09,0.03,97.67
qaenv-cyberthreats,600,2018-10-25 01:45:01 UTC,-1,0.92,0.00,0.72,0.10,0.03,98.24
qaenv-cyberthreats,600,2018-10-25 01:45:01 UTC,0,0.75,0.00,0.72,0.11,0.03,98.39
qaenv-cyberthreats,600,2018-10-25 01:45:01 UTC,1,1.08,0.00,0.71,0.09,0.03,98.09
qaenv-cyberthreats,600,2018-10-25 01:55:01 UTC,-1,0.87,0.00,0.77,0.09,0.03,98.23
qaenv-cyberthreats,600,2018-10-25 01:55:01 UTC,0,0.79,0.00,0.68,0.08,0.03,98.42
qaenv-cyberthreats,600,2018-10-25 01:55:01 UTC,1,0.96,0.00,0.87,0.10,0.03,98.04
qaenv-cyberthreats,600,2018-10-25 02:05:01 UTC,-1,2.35,0.00,0.93,0.10,0.04,96.58
qaenv-cyberthreats,600,2018-10-25 02:05:01 UTC,0,2.47,0.00,1.00,0.11,0.04,96.38
qaenv-cyberthreats,600,2018-10-25 02:05:01 UTC,1,2.23,0.00,0.87,0.09,0.04,96.79
qaenv-cyberthreats,600,2018-10-25 02:15:01 UTC,-1,1.06,0.00,0.60,0.11,0.04,98.20
qaenv-cyberthreats,600,2018-10-25 02:15:01 UTC,0,0.89,0.00,0.61,0.10,0.04,98.36
qaenv-cyberthreats,600,2018-10-25 02:15:01 UTC,1,1.22,0.00,0.59,0.11,0.03,98.04
qaenv-cyberthreats,600,2018-10-25 02:25:01 UTC,-1,1.06,0.00,0.75,0.11,0.04,98.04
qaenv-cyberthreats,600,2018-10-25 02:25:01 UTC,0,0.97,0.00,0.63,0.09,0.04,98.27
qaenv-cyberthreats,600,2018-10-25 02:25:01 UTC,1,1.14,0.00,0.87,0.14,0.03,97.81
qaenv-cyberthreats,600,2018-10-25 02:35:01 UTC,-1,1.63,0.00,0.98,0.11,0.04,97.24
qaenv-cyberthreats,600,2018-10-25 02:35:01 UTC,0,1.59,0.00,1.10,0.11,0.04,97.17
qaenv-cyberthreats,600,2018-10-25 02:35:01 UTC,1,1.68,0.00,0.86,0.11,0.04,97.31
qaenv-cyberthreats,600,2018-10-25 02:45:01 UTC,-1,0.96,0.00,0.76,0.11,0.03,98.14
qaenv-cyberthreats,600,2018-10-25 02:45:01 UTC,0,0.80,0.00,0.79,0.08,0.04,98.29
qaenv-cyberthreats,600,2018-10-25 02:45:01 UTC,1,1.13,0.00,0.72,0.13,0.03,97.99
