# hostname,interval,timestamp,tps,rtps,wtps,bread/s,bwrtn/s
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,8.96,0.90,8.06,47.96,1479.19
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,7.73,0.00,7.73,0.23,1434.66
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,7.17,0.00,7.17,0.00,1403.82
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,7.02,0.00,7.01,0.01,1403.49
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,7.84,0.00,7.84,0.01,1430.11
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,8.20,0.01,8.19,0.09,1431.75
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,8.19,0.01,8.18,0.08,1392.98
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,8.19,0.00,8.19,0.04,1433.25
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,9.70,0.00,9.69,0.01,1872.12
qaenv-cyberthreats,600,2018-10-25 01:35:01 UTC,6.84,0.00,6.84,0.00,1397.71
qaenv-cyberthreats,600,2018-10-25 01:45:01 UTC,7.36,0.00,7.36,0.00,1407.17
qaenv-cyberthreats,600,2018-10-25 01:55:01 UTC,6.75,0.00,6.75,0.00,1144.90
qaenv-cyberthreats,600,2018-10-25 02:05:01 UTC,8.64,0.50,8.14,33.37,1389.11
qaenv-cyberthreats,600,2018-10-25 02:15:01 UTC,8.32,0.00,8.31,0.03,1428.46
qaenv-cyberthreats,600,2018-10-25 02:25:01 UTC,8.07,0.06,8.01,0.45,1420.42
qaenv-cyberthreats,600,2018-10-25 02:35:01 UTC,8.04,0.01,8.03,0.05,1420.82
qaenv-cyberthreats,600,2018-10-25 02:45:01 UTC,7.82,0.00,7.81,0.03,1424.08
qaenv-cyberthreats,600,2018-10-25 02:55:01 UTC,8.16,0.03,8.13,0.27,1437.34
qaenv-cyberthreats,600,2018-10-25 03:05:01 UTC,7.94,0.00,7.94,0.00,1395.68
qaenv-cyberthreats,600,2018-10-25 03:15:01 UTC,8.81,0.00,8.81,0.01,1457.87
qaenv-cyberthreats,600,2018-10-25 03:25:01 UTC,8.87,0.05,8.81,0.44,1473.88
qaenv-cyberthreats,601,2018-10-25 03:35:01 UTC,7.52,0.00,7.52,0.01,1417.01
qaenv-cyberthreats,600,2018-10-25 03:45:01 UTC,7.90,0.05,7.85,0.65,1430.98
qaenv-cyberthreats,600,2018-10-25 03:55:01 UTC,7.68,0.01,7.67,0.05,1426.98
qaenv-cyberthreats,600,2018-10-25 04:05:01 UTC,7.72,0.00,7.71,0.03,1394.61
