# hostname,interval,timestamp,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,526748,7647124,93.56,388724,1219896,7988120,97.73,6345500,654176,2000
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,528404,7645468,93.54,388736,1214672,7975832,97.58,6348496,649360,28
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,537928,7635944,93.42,388744,1214968,7971516,97.52,6340760,649152,136
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,497628,7676244,93.91,388748,1216360,8104496,99.15,6380828,647496,3192
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,536500,7637372,93.44,388768,1217836,7971316,97.52,6345540,647184,224
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,533400,7640472,93.47,388848,1219372,7971316,97.52,6348512,646936,388
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,539772,7634100,93.40,388928,1220848,7941912,97.16,6343492,646760,196
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,539556,7634316,93.40,389004,1222448,7941512,97.16,6344156,646684,124
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,496452,7677420,93.93,389092,1244640,7961228,97.40,6387184,646432,176
qaenv-cyberthreats,600,2018-10-25 01:35:01 UTC,519584,7654288,93.64,389092,1244836,7939228,97.13,6364712,646280,248
qaenv-cyberthreats,600,2018-10-25 01:45:01 UTC,523420,7650452,93.60,389096,1245192,7932480,97.05,6362040,646100,300
qaenv-cyberthreats,600,2018-10-25 01:55:01 UTC,454648,7719224,94.44,389140,1280988,8321668,101.81,6393864,682548,35484
qaenv-cyberthreats,600,2018-10-25 02:05:01 UTC,700696,7473176,91.43,361804,1120416,7952852,97.30,6219692,638776,28
qaenv-cyberthreats,600,2018-10-25 02:15:01 UTC,686512,7487360,91.60,361952,1135128,7952852,97.30,6220788,651872,140
qaenv-cyberthreats,600,2018-10-25 02:25:01 UTC,679836,7494036,91.68,362188,1135676,7945168,97.20,6228748,651020,408
qaenv-cyberthreats,600,2018-10-25 02:35:01 UTC,676548,7497324,91.72,362316,1136228,7952852,97.30,6240352,642164,316
qaenv-cyberthreats,600,2018-10-25 02:45:01 UTC,675752,7498120,91.73,362420,1137048,7952852,97.30,6242136,641360,192
