# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,vetha9bc24f,0.13,0.27,0.01,0.02,0.00,0.00,0.00,0.00
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,lo,19.84,19.84,22.87,22.87,0.00,0.00,0.00,0.00
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,veth2376688,7.28,9.01,0.94,3.50,0.00,0.00,0.00,0.00
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,br-49e5983ece52,10.18,12.71,19.26,4.03,0.00,0.00,0.00,0.00
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,vethd016d19,2.77,3.43,18.45,0.52,0.00,0.00,0.00,0.00
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
qaenv-cyberthreats,300,2018-10-25 00:05:01 UTC,eth0,19.40,16.30,11.07,22.00,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,vetha9bc24f,0.12,0.23,0.01,0.02,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,lo,17.48,17.48,16.44,16.44,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,veth2376688,6.09,7.85,0.84,1.08,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,br-49e5983ece52,8.74,11.19,15.21,1.55,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,vethd016d19,2.53,3.11,14.48,0.46,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:15:01 UTC,eth0,8.93,7.67,3.13,15.12,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,vetha9bc24f,0.16,0.30,0.01,0.02,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,lo,18.26,18.26,18.91,18.91,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,veth2376688,6.25,8.11,0.98,1.11,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,br-49e5983ece52,9.39,11.97,17.60,1.63,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,vethd016d19,2.98,3.56,16.74,0.50,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:25:01 UTC,eth0,10.63,8.99,0.99,22.04,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,vetha9bc24f,0.17,0.33,0.01,0.02,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,lo,20.78,20.78,23.33,23.33,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,veth2376688,6.98,8.95,1.11,2.35,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,br-49e5983ece52,10.98,13.77,19.54,4.19,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,vethd016d19,3.83,4.49,18.57,1.83,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:35:01 UTC,eth0,16.22,13.86,3.19,29.39,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,vetha9bc24f,0.58,0.82,0.06,0.12,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,lo,180.56,180.56,134.97,134.97,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,veth2376688,8.43,11.80,4.47,1.76,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,br-49e5983ece52,16.55,21.49,76.50,3.10,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,vethd016d19,7.54,8.87,72.19,1.22,0.00,0.00,0.00,0.01
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:45:01 UTC,eth0,15.28,12.17,4.37,27.04,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,vetha9bc24f,0.47,0.82,0.04,0.08,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,lo,85.38,85.38,86.83,86.83,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,veth2376688,8.02,11.20,2.99,1.54,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,br-49e5983ece52,15.98,20.97,62.36,2.96,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,vethd016d19,7.50,8.95,59.55,1.34,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 00:55:01 UTC,eth0,11.74,9.18,2.89,18.60,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,vetha9bc24f,0.47,0.82,0.04,0.08,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,lo,87.91,87.91,89.39,89.39,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,veth2376688,8.64,11.81,3.04,2.76,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,br-49e5983ece52,16.58,21.55,63.52,4.18,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,vethd016d19,7.47,8.92,60.67,1.34,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:05:01 UTC,eth0,13.56,10.97,4.29,18.82,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,vetha9bc24f,0.38,0.65,0.04,0.07,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,lo,63.96,63.96,68.26,68.26,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,veth2376688,7.53,10.31,2.54,1.43,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,br-49e5983ece52,13.77,18.14,49.63,2.57,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,vethd016d19,5.86,7.18,47.24,1.07,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:15:01 UTC,eth0,9.12,7.20,2.66,14.21,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,vetha9bc24f,0.13,0.26,0.01,0.02,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,lo,17.88,17.88,21.30,21.30,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,veth2376688,6.18,7.96,0.82,1.09,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,br-49e5983ece52,8.99,11.47,20.04,1.58,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,vethd016d19,2.68,3.24,19.33,0.47,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:25:01 UTC,eth0,50.01,29.38,51.15,53.65,0.00,0.00,0.00,0.00
qaenv-cyberthreats,600,2018-10-25 01:35:01 UTC,vetha9bc24f,0.14,0.27,0.01,0.02,0.00,0.00,0.00,0.00
